Location,81_Order,56_Order,Case_counts_WHO,Sequence_count,Pop_Size,pdensMN,distances_jumps_from,distances_jumps_to,popsizes_jumps_from,popsizes_jumps_to,gravity_jumps_from,gravity_jumps_to,admin_jumps_from,admin_jumps_to,gravity+admin_jumps_from,jumps,introductions,,cluster_size_mean,cluster_size_mean_95%_CI,cluster_size_upper_95%_mean,persistence_days_mean,persistence_days_95%_CI,persistence_days_upper_95%_mean
GrandKru,11,11,25,2,64797,17.54289402,0.117954417,0.803022872,0.028192917,0.982976952,0.008929295,0.244956364,0.201893569,1.987544119,0.005946554,0.216074016,2.024016145,,1.200681818,"[1,3]",1.266762626,2.522819561,"[-0.00011315,22.77831656]",-0.00011315
Gueckedou,45,38,390,58,720289,169.5311576,10.83947643,4.697611561,20.81270845,13.21504227,17.9793969,11.01528317,17.35522971,4.288699984,21.41332433,11.10082697,9.545005045,,1.72649379,"[1.142857143,5.363636364]",4.621464646,14.16756862,"[4.513787009,29.92049448]",20.05358934
Kailahun,50,43,756,101,409182,98.61185852,13.6557438,7.677733612,12.15795365,7.225694191,13.6303344,11.18106115,8.934544006,7.756358967,14.03073113,13.26634589,3.519677094,,40.20724797,"[17.33333333,106]",92.21842929,51.75800696,"[17.90716666,142.0253213]",70.90838695
Kambia,54,47,326,74,302083,99.62507097,18.04307351,15.57514713,10.82280068,5.18797668,14.31043205,16.07136755,8.299708837,7.461439681,11.50589624,16.55683752,22.71664985,,3.582530066,"[3.076923077,4.222222222]",11.87074747,28.46209097,"[21.29782268,37.56586177]",62.19880566
Kankan,26,24,38,4,374445,21.47807453,0.781010169,1.603587888,1.018217316,6.723104907,0.602038574,2.326397409,1.546521829,2.989557348,0.658169579,2.398193037,2.041473259,,2.074713805,"[1.333333333,4]",2.918121212,30.58101905,"[9.215765158,77.64474125]",18.78591263
Kenema,51,44,553,75,563021,90.26001696,14.83958967,7.660003073,18.14082175,10.13190339,20.086148,13.76780818,8.881832081,6.76004444,19.10771174,15.64895169,11.52532795,,8.939557199,"[5.4375,14]",33.38353535,43.90958944,"[26.81075601,63.97420433]",96.16827404
Kerouane,27,25,176,10,259648,27.46669445,1.551971935,3.035132058,1.34938341,4.488245504,0.884374999,2.95177019,2.598887755,2.955298183,0.948848449,2.756131859,6.012209889,,1.7217884,"[1.25,2]",3.142141414,13.77922959,"[4.164148829,24.20274074]",15.15550572
Kindia,34,31,132,2,466987,53.0426592,0.346806726,6.707891922,0.537449917,8.587944911,0.466604861,11.93614001,0.533209177,4.865298568,0.705992442,12.41383949,1.326034309,,1.750984948,"[1,2]",1.753257905,31.86593586,"[0.0001095,54.82908126]",0.00011607
Kissidougou,25,23,138,18,275182,43.73051997,1.822969815,4.29632668,1.53642302,4.7826492,1.233325674,4.45849472,2.824781817,2.948808461,1.284422395,3.779957463,4.078809284,,4.471289562,"[3.8,4.5]",12.1700303,13.72850907,"[9.359255015,18.42751631]",29.00434805
Koinadugu,55,48,185,11,299798,24.01177692,2.400952803,5.504260531,2.188421807,5.248008523,1.65918196,5.796317025,2.313609192,7.886816961,1.624326701,7.455460358,4.282643794,,2.778673842,"[2.333333333,3.666666667]",6.958560606,42.72427551,"[29.87851149,70.33863377]",122.5471374
Kono,52,45,568,39,324103,59.43544354,6.272315979,6.339206921,5.608288605,5.673993246,5.187168162,7.318454405,4.384632433,7.611868836,5.12611084,9.351836673,7.81271443,,5.80231789,"[4.6,6.714285714]",23.44187374,27.26481339,"[18.74085729,35.11224586]",83.54564287
Kouroussa,28,26,22,2,197242,12.39715097,0.225822641,1.791578064,0.107586974,3.326695082,0.073302436,1.362357971,0.426283331,3.01766682,0.075175234,1.222852407,2.019778002,,1.009478114,"[1,1]",1.018035354,2.889899349,"[0.000144175,21.91073013]",0.000145817
Lofa,12,12,511,13,287555,28.11582883,3.397753714,5.099470512,1.525078007,5.020080311,1.550084702,5.501769539,3.767870697,4.021079126,1.913267847,5.834725791,6.235620585,,4.413716348,"[2.25,10]",11.24310606,22.70572054,"[7.121468777,47.37069907]",21.54760464
Lola,46,39,118,2,214082,47.49082866,0.316146404,2.284123465,0.155689981,3.639755015,0.139618482,1.816381693,0.510748624,3.081463123,0.153027541,1.537735611,1.438950555,,1.575606061,"[1,2]",1.579560606,31.38991613,"[0.000133225,67.88168548]",0.000184142
Macenta,47,40,787,40,495845,61.21412323,9.573705814,3.374369172,12.81754873,8.917818263,11.40257851,6.40275123,14.45366089,2.917268706,12.30830536,5.963699631,9.995660949,,4.520717882,"[3.5,5.25]",13.56192929,42.16812718,"[28.79594887,54.14962674]",101.5216109
Mali,39,33,5,0,208339,24.65941349,0.004329353,1.284135897,0.016248136,3.533678017,0.000461424,1.15589546,0.128632696,3.026842384,0.003374769,1.135491141,0.003935419,,1,"[1,1]",1,-4.54E-05,"[-7.3E-05,0.0001898]",-7.3E-05
Margibi,13,13,878,21,335736,123.0551595,5.898652168,9.532898924,5.006770779,5.906978215,5.964976772,17.78500694,3.269058841,1.802440057,5.530189057,17.10336241,14.35297679,,2.333599236,"[1.526315789,3.7]",6.649752525,18.55116803,"[6.733846689,38.77895472]",32.49588537
Maryland,14,14,7,0,132024,60.80219537,0.006652644,0.69801715,0.012069389,2.141643381,0.00050276,0.414962426,0.054504506,1.996756512,0.000446973,0.411299647,0.056710394,,1.068867925,"[1,2]",1.069716981,1.040589562,"[-0.00012775,14.92382152]",-0.00012775
Montserrado,15,15,2925,67,1016221,581.0034112,25.88288769,3.75888303,72.69105848,16.86063117,52.30142953,10.23994384,16.33777993,1.013923284,42.12886027,6.57449063,11.8667003,,13.85342919,"[5.24375,36.66666667]",56.57820202,50.255915,"[23.40697954,95.66225703]",107.8369488
Moyamba,60,53,317,23,263788,38.14398331,4.794496576,10.39603548,2.20609061,4.558195444,2.82879332,9.262097355,2.072109395,7.003141674,2.811199792,10.48878502,10.00454087,,2.614049577,"[2.230769231,2.777777778]",7.325575758,12.1659676,"[8.095483169,17.01004855]",31.7936699
Nimba,1,1,282,5,483036,40.44316302,0.453815337,1.727770935,1.412779298,8.89657573,0.50199188,3.640994279,0.924611083,2.072706072,0.689556473,4.025684255,3.677295661,,2.524370491,"[1.6,3.666666667]",3.833434343,14.97046834,"[3.359363635,29.14846857]",9.22158463
Nzerekore,48,41,269,9,372266,91.31680104,1.561038,2.316884893,1.23980136,6.676597546,1.126277422,3.331552356,1.656511373,3.048944545,1.013213132,3.005194494,4.295862765,,2.160568062,"[1.8,2.25]",4.440191919,19.59643374,"[5.59617135,27.65792199]",18.80170084
Pita,43,36,8,0,263471,58.25552374,0.025721894,2.774774015,0.027368759,4.574723066,0.009389079,2.96550673,0.103071824,3.026948658,0.021818911,2.726628442,0.012916246,,1,"[1,1]",1,-3.06E-05,"[-7.3E-05,0.0001898]",-7.3E-05
PortLoko,56,49,2208,150,540439,97.01544282,41.12462586,13.85695667,44.9240566,9.063888103,55.37240956,22.46284789,18.52138994,5.949542916,52.53873446,25.70825385,26.38476287,,7.47056165,"[5.833333333,9.315789474]",28.05053535,41.25568598,"[31.41570958,51.59306379]",126.1523576
Pujehun,61,54,68,9,278897,72.97472495,1.416602916,5.598786815,1.0472077,4.859175864,0.886701736,5.949495521,1.066740521,7.125820502,0.86823974,6.59368878,4.008879919,,2.420955507,"[1.857142857,3]",5.299944444,22.06270708,"[8.69788764,46.97085255]",35.09659062
RiverCess,2,2,48,2,73960,14.05467372,0.13111358,2.212748231,0.028862487,1.135761516,0.013962798,0.734557475,0.167394518,1.989645191,0.011890996,0.651778854,1.131079718,,1.943139731,"[1.5,2]",1.993707071,3.293513108,"[0.082436071,12.86515564]",0.097898475
RiverGee,3,3,13,1,83020,13.23481111,0.080390311,0.772683018,0.046002869,1.288625658,0.013025737,0.299762629,0.153071537,1.991385823,0.009635507,0.267465525,1.072653885,,1.28333165,"[1,3]",1.293262626,15.30911292,"[-6.935E-05,110.7421963]",-6.935E-05
Siguiri,30,27,38,3,427947,24.17096149,0.548249438,1.043481147,0.872233694,7.792967973,0.47817196,1.827517482,0.955694901,3.006074366,0.616302346,2.044771516,3.048234107,,1.019166667,"[1,1.333333333]",1.051873737,1.887759233,"[2.19E-05,8.365587296]",7.227E-05
Sinoe,4,4,33,3,103789,11.05983444,0.36015682,1.207030583,0.183035007,1.644713424,0.063207822,0.594946816,0.451276247,1.972503805,0.050819997,0.570706109,1.250655903,,2.702929293,"[1.5,3]",2.841949495,63.23942322,"[4.574686483,93.83100415]",9.28709144
Telimele,35,32,43,0,258398,33.91898917,0.023347731,2.864943791,0.026702383,4.477880677,0.007843519,3.090901626,0.12279772,3.026379821,0.013434075,2.94344536,0.014530777,,1,"[1,1]",1,3.05E-05,"[-7.3E-05,0.0001898]",-7.3E-05
Tonkolili,57,50,630,19,386112,60.48196743,5.562179948,18.44412517,3.432527971,6.91620316,5.307728978,22.1156049,1.983527457,7.00876685,4.996710578,24.2850624,13.039556,,1.750776252,"[1.4,2.181818182]",3.532075758,17.86786539,"[10.11801081,27.37147188]",43.50244545
Tougue,40,34,2,0,152448,25.21185121,0.008276103,1.623412657,0.004681991,2.507661149,0.000590908,1.02449972,0.106653751,3.026990106,0.000531554,0.885628026,0.004137235,,1,"[1,1]",1,1.33E-05,"[-7.3E-05,0.0001898]",-7.3E-05
WesternRural,62,55,1736,88,435323,737.3238058,105.3127279,116.0621997,28.80650553,7.434358269,117.1266822,136.3383373,14.8868401,6.182144325,79.19674912,93.73059176,57.15216953,,3.104133152,"[2.42718254,3.862068966]",12.13010101,31.93020739,"[22.29655433,42.12544044]",110.3272236
WesternUrban,63,56,3219,152,528224,7134.341643,138.1944894,88.54040461,60.02560232,8.497570356,166.9601102,103.1168838,25.47043012,5.504418142,119.2556891,69.77697262,66.24540868,,3.785187954,"[3.104477612,4.795454545]",10.52330808,31.09541779,"[21.76651853,42.59404462]",112.9020126
Yamou,49,42,12,0,300674,92.68330754,0.034427221,2.977107467,0.042699381,5.290650882,0.013267953,3.358195762,0.165450234,3.398437382,0.017801141,2.870152908,0.026942482,,1,"[1,1]",1,0.698347541,"[-7.3E-05,0.0001898]",-7.3E-05
Gaoual,19,,0,0,171616,15.21275564,1.508666674,,2.855811302,,1.145132929,,3.02990631,,1.115428522,,,,,,,,,
Koundara,20,,0,0,108639,20.60392327,1.075916807,,1.729766227,,0.53331274,,3.02990631,,0.498951483,,,,,,,,,
Mandiana,29,,0,0,252272,21.7012487,1.407709062,,4.36146275,,1.355789756,,3.02990631,,1.347736286,,,,,,,,,
Koubia,36,,0,0,111176,31.16610102,1.623031766,,1.774054589,,0.759026192,,3.02990631,,0.631506195,,,,,,,,,
Labe,37,,0,0,313715,148.419805,2.023845845,,5.544520288,,2.560929693,,3.02990631,,2.492768862,,,,,,,,,
Lelouma,38,,0,0,144433,52.48165963,1.926716681,,2.363424525,,1.182329751,,3.02990631,,1.042947219,,,,,,,,,
Mamou,42,,0,0,371426,36.21963538,3.718044348,,6.67882133,,5.203524029,,5.074895868,,5.601486408,,,,,,,,,
Kedougou,64,,0,0,70072,9.895715951,1.024047062,,1.07076038,,0.324212268,,0.445023181,,0.074874737,,,,,,,,,
Salemata,65,,0,0,19887,9.936888189,0.995968132,,0.27184954,,0.094648715,,0.445023181,,0.017795559,,,,,,,,,
Saraya,66,,0,0,55879,7.051120256,0.876014578,,0.836343354,,0.224139351,,0.445023181,,0.051707205,,,,,,,,,
Velingara,67,,0,0,254319,45.98269365,0.768915321,,4.40042144,,0.896357591,,0.439563262,,0.269497306,,,,,,,,,
Tambacounda,68,,0,0,259657,19.05755026,0.617751111,,4.502170726,,0.744549747,,0.439563262,,0.236247721,,,,,,,,,
Kenieba,69,,0,0,195927,12.98408573,0.85481425,,3.30313474,,0.739493577,,0.455863117,,0.211442565,,,,,,,,,
Kita,70,,0,0,451019,12.58197622,0.652069637,,8.274465963,,1.291912198,,0.487227806,,0.480846451,,,,,,,,,
Kangaba,71,,0,0,103684,21.42641398,0.74746997,,1.643569118,,0.340063275,,0.481412103,,0.101460208,,,,,,,,,
Kati,72,,0,0,1076713,63.92497675,0.577449609,,21.67554829,,2.717819923,,0.481412103,,1.212818038,,,,,,,,,
Yanfolila,73,,0,0,217429,25.15821879,0.860930476,,3.703665335,,0.791075621,,0.439563262,,0.228457199,,,,,,,,,
Gabu,74,,0,0,220218,24.23967669,1.052747357,,3.755932089,,1.051897522,,0.559544171,,0.333387656,,,,,,,,,
Tombali,75,,0,0,102893,30.43530152,1.331308484,,1.629846707,,0.625458947,,0.559544171,,0.180017198,,,,,,,,,
SanPedro,76,,0,0,185465,32.24318809,0.594875674,,3.109880126,,0.511407482,,0.464503784,,0.155490025,,,,,,,,,
Folon,77,,0,0,88493,12.27362083,0.966517684,,1.381958118,,0.365443141,,0.510286324,,0.09498077,,,,,,,,,
Kabadougou,78,,0,0,212545,15.07037959,1.023005687,,3.61230771,,0.900531168,,0.572949187,,0.278650759,,,,,,,,,
Cavally,79,,0,0,421559,37.46910984,0.921535398,,7.679960519,,1.721185969,,0.50874075,,0.59228147,,,,,,,,,
Tonkpi,80,,0,0,946740,78.70778243,1.055711856,,18.79359392,,4.235334911,,0.526084517,,1.615495513,,,,,,,,,
Bafing,81,,0,0,188328,20.95217589,1.206862694,,3.162655322,,0.938324944,,0.524437489,,0.263966704,,,,,,,,,
