Location,XML_Order,ID_0,ISO,NAME_0,ID_1,NAME_1,VARNAME_1,TYPE_1,ID_2,NAME_2,VARNAME_2,TYPE_2,Location_Admin_Level,Pop_Centroid_X,Pop_Centroid_Y,Case_counts_WHO,Sequence_count,Area_km_2,Pop_Size,geconMN,geconMIN,geconMAX,geconSTD,pdensMN,langV1,langV2,langV3,langV4,langV5,langV6,langV7,langV8,langV9,langV10,langV11,langV12,langV13,langV14,langV15,langV16,langV17,tt50kMN,tt100kMN,tt500kMN,altMN,tempMN,tmpssMN,precMN,precssMN,pre01MN,pre02MN,pre03MN,pre04MN,pre05MN,pre06MN,pre07MN,pre08MN,pre09MN,pre10MN,pre11MN,pre12MN,hum01MN,hum02MN,hum03MN,hum04MN,hum05MN,hum06MN,hum07MN,hum08MN,hum09MN,hum10MN,hum11MN,hum12MN
Forecariah,33,96,GIN,Guinea,5,Kindia,,Region,18,Forécariah,,Préfecture,2,-13.08275123,9.43177816,503,60,4233.49,389052,0.452799311,0.368783623,0.677194655,0.058107858,94.72445306,0.07082495,0.167203219,0.761971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.3488698,220.8759752,235.5071014,86.71448636,280.7823034,1748.105738,3160.755618,109.5196629,1.569230767,2.399999976,10.96153846,44.55384651,170.0153844,347.9846168,786.9461482,820.4076914,504.5153809,296.1384606,87.36153764,11.88461538,11.32307676,10.60000001,9.915384659,9.261538359,8.384615458,7.453846161,6.123076952,5.338461509,6.830769209,7.992307626,8.953846125,10.59230768
Fria,18,96,GIN,Guinea,1,Boké,,Region,3,Fria,,Préfecture,2,-13.57485203,10.36429822,16,3,1586.37,115696,0.193976383,0.160126805,0.229461133,0.015670477,72.77684566,0,0,0.749601276,0.250398724,0,0,0,0,0,0,0,0,0,0,0,0,0,135.8574468,218.1138298,230.4069149,202.1740287,277.0478978,1620.504524,2759.577435,116.376264,0.375000007,0.825000018,4.87500006,26.07500029,139.0499992,296.2750015,630.1000061,696.3249969,472.6999969,294.375,80.67500114,5.225000024,13.17499995,12.85000014,12,11.14999986,9.849999905,8.375,6.75,5.024999976,7.399999976,8.599999905,10.42500019,12.44999981
Gaoual,19,96,GIN,Guinea,1,Boké,,Region,4,Gaoual,,Préfecture,2,-13.49021202,11.77082128,0,0,11176.27,171616,0.124571867,0.088645808,0.207443804,0.026147914,15.21275564,0.041278195,0,0.012105263,0.946616541,0,0,0,0,0,0,0,0,0,0,0,0,0,326.4529337,370.6415746,372.5436105,217.4306964,264.7900984,1913.803095,1833.617384,111.1133649,0.264705888,0.670588238,1.894117649,16.31176473,92.92941183,208.6294125,351.8676506,444.2999995,369.5117645,216.2176464,56.50882351,2.305882352,15.88823532,15.88823532,14.78235295,13.44411763,11.87058825,9.864705843,7.776470619,4.74705884,8.594117641,10.0764706,13.1911765,15.52058829
Gueckedou,45,96,GIN,Guinea,8,Nzérékoré,,Region,30,Guéckédou,Guékédou,Préfecture,2,-10.13096634,8.55940406,390,58,4248.48,720289,0.164533333,0.140845954,0.199622378,0.013728671,169.5311576,0.780463444,0.000998801,0,0,0,0,0,0.003795445,0,0.214742309,0,0,0,0,0,0,0,165.9806155,167.6698641,335.5809353,447.788769,252.4774181,1211.678457,2431.935452,65.77158273,13.87499984,36.82500013,81.00833384,144.1416664,225.4333344,273.9499995,290.1833344,338.3249995,356.9666672,282.9083328,133.4749997,31.14166689,15.3416667,15.125,13.75833329,12.00833344,10.59166678,9.324999889,8.050000072,7.883333445,9.041666667,9.924999952,11.19166668,13.41666659
Kankan,26,96,GIN,Guinea,4,Kankan,,Region,11,Kankan,,Préfecture,2,-9.30216043,10.38758138,38,4,17357.72,374445,0.129353938,0.031435624,0.170650706,0.033537164,21.47807453,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.3996303,245.3996303,248.9167275,439.7260567,257.2293399,1607.430566,1613.138625,88.89449876,2.75490195,8.28235291,31.37450976,79.45098039,141.4294115,212.3294121,282.5411742,340.5156848,312.4294116,149.3549013,38.11372548,4.990196092,17.45490194,16.77058803,14.76078437,13.03137252,11.54117646,10.15294116,8.95686288,8.531372557,9.654901953,10.75686275,14.01960782,16.58431373
Kerouane,27,96,GIN,Guinea,4,Kankan,,Region,12,Kérouané,,Préfecture,2,-9.30018290,9.22312067,176,10,9409.33,259648,0.132863159,0.043167006,0.200072974,0.037719185,27.46669445,0,0.953139054,0,0,0,0,0,0,0,0.046860946,0,0,0,0,0,0,0,222.9429213,243.1689888,270.7530787,658.4122247,242.3193708,1218.41564,1963.128629,73.69294382,6.837037025,22.65555558,55.81851818,125.5444452,171.5185196,236.5444449,309.6999975,381.1370409,348.1481493,180.1851858,67.11481518,14.15925932,17.03333339,16.22962962,14.14074075,12.48888888,11.11851851,9.900000007,8.77407406,8.496296353,9.551851873,10.31481485,12.90740737,15.55555556
Kindia,34,96,GIN,Guinea,5,Kindia,,Region,19,Kindia,,Préfecture,2,-12.85603800,10.04971513,132,2,8829.17,466987,0.449799412,0.323801786,0.580015719,0.056933185,53.0426592,0,0,0.983451311,0.016548689,0,0,0,0,0,0,0,0,0,0,0,0,0,188.0472908,195.9706108,291.5828068,329.1029961,263.3161673,1476.45324,2316.094381,99.69665933,1.41599999,2.595999999,13.48000011,51.65999985,170.203999,271.2520001,465.8039966,551.0640015,398.332002,259.0439984,66.48399994,7.223999977,13.68399998,13.17200001,12.14799999,11.01199997,9.540000038,8.340000038,6.84,5.452000008,7.628000011,8.907999992,10.64399998,13.06
Kissidougou,25,96,GIN,Guinea,3,Faranah,,Region,10,Kissidougou,,Préfecture,2,-10.10266143,9.19279465,138,18,6213.78,275182,0.152504866,0.130255386,0.192320973,0.013598041,43.73051997,0.42940776,0.453369639,0,0,0,0,0,0,0,0.1172226,0,0,0,0,0,0,0,152.8663306,152.9369124,295.2715629,550.8730072,247.8713721,1465.172367,2081.974111,72.18871781,7.90000007,22.59473715,53.84736894,128.7526309,201.1789479,255.2631571,280.9789493,351.5999997,344.4999984,239.2947372,86.54210462,17.50526318,16.24736846,15.83157906,14.18421053,12.42631576,10.88421054,9.60000003,8.357894697,8.031579043,9.284210456,10.23157898,12.1894736,14.72631585
Koubia,36,96,GIN,Guinea,6,Labé,,Region,21,Koubia,,Préfecture,2,-11.89325916,11.58614131,0,0,3553.74,111176,0.053503582,0.036810528,0.130317271,0.013374217,31.16610102,0,0.007342492,0.090952155,0.901705353,0,0,0,0,0,0,0,0,0,0,0,0,0,257.8313281,278.1023826,278.1023826,615.1316659,248.2170835,2011.716376,1447.544597,110.7612081,0.120000002,1.230000007,2.75999999,21.50999975,83.95999985,183.8,304.6399963,375.9700043,306.0699982,132.8400009,21.02999983,1.850000018,16.06000023,16.09000006,14.9500001,13.39000006,11.70999994,10.1,8.220000076,5.009999895,9.130000019,10.68999996,14.39000015,16.63000011
Koundara,20,96,GIN,Guinea,1,Boké,,Region,5,Koundara,Youkoukoun|Youkounkoun,Préfecture,2,-13.53492429,12.39279141,0,0,5247.75,108639,0.147916184,0.093136676,0.204675898,0.026988156,20.60392327,0.005421783,0,0,0.459894754,0,0.534683464,0,0,0,0,0,0,0,0,0,0,0,332.8717867,357.1270956,357.1270956,108.8179786,273.4646336,2214.462398,1377.886636,116.7194635,0.060000001,0.360000008,0.466666678,6.479999956,57.69999898,172.3333333,282.7200053,359.3799988,316.5599996,159.0133331,28.15333354,1.066666667,16.8,16.94666659,15.85333328,14.36000004,12.78000005,10.56666673,8.299999936,4.6,9.179999987,10.94000009,14.70666682,16.78666649
